t,accP
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,1
