t,Norder
10,8
20,8
30,8
40,8
50,8
60,8
70,8
80,8
90,8
100,8
110,8
120,8
130,8
140,8
150,8
160,8
170,8
180,8
190,8
200,8
210,8
220,8
230,8
240,8
250,8
260,8
270,8
280,8
290,8
300,8
310,8
320,8
330,8
340,8
350,8
360,8
370,8
380,8
390,8
400,8
410,8
420,8
430,8
440,8
450,8
460,8
470,8
480,8
490,8
500,8
510,8
520,8
530,8
540,8
550,8
560,8
570,8
580,8
590,8
600,8
610,8
620,8
630,8
640,8
650,8
660,8
670,8
680,8
690,8
700,8
710,8
720,8
730,8
740,8
750,8
760,8
770,8
780,8
790,8
800,8
810,8
820,8
830,8
840,8
850,8
860,8
870,8
880,8
890,8
900,8
910,8
920,8
930,8
940,8
950,8
960,8
970,8
980,8
990,8
1000,8
1010,8
1020,8
1030,8
1040,8
1050,8
1060,8
1070,8
1080,8
1090,8
1100,8
1110,8
1120,8
1130,8
1140,8
1150,8
1160,8
1170,8
1180,8
1190,8
1200,8
1210,8
1220,8
1230,8
1240,8
1250,8
1260,8
1270,8
1280,8
1290,8
1300,8
1310,8
1320,8
1330,8
1340,8
