t,Norder
10,11
20,11
30,11
40,11
50,11
60,11
70,11
80,11
90,11
100,11
110,11
120,11
130,11
140,11
150,11
160,11
170,11
180,11
190,11
200,11
210,11
220,11
230,11
240,11
250,11
260,11
270,11
280,11
290,11
300,11
310,11
320,11
330,11
340,11
350,11
360,11
370,11
380,11
390,11
400,11
410,11
420,11
430,11
440,11
450,11
460,11
470,11
480,11
490,11
500,11
510,11
520,11
530,11
540,11
550,11
560,11
570,11
580,11
590,11
600,11
610,11
620,11
630,11
640,11
650,11
660,11
670,11
680,11
690,11
700,11
710,11
720,11
730,11
740,11
750,11
760,11
770,11
780,11
790,11
800,11
810,11
820,11
830,11
840,11
850,11
860,11
870,11
880,11
890,11
900,11
910,11
920,11
930,11
940,11
950,11
960,11
970,11
980,11
990,11
1000,11
1010,11
1020,11
1030,11
1040,11
1050,11
1060,11
1070,11
1080,11
1090,11
1100,11
1110,11
1120,11
1130,11
1140,11
1150,11
1160,11
1170,11
1180,11
1190,11
1200,11
