t,Norder
10,11
20,11
30,11
40,11
50,11
60,11
70,11
80,11
90,11
100,11
110,11
120,11
130,11
140,11
150,11
160,11
170,11
180,11
190,11
200,11
210,11
220,11
230,11
240,11
250,11
260,11
270,11
280,11
290,11
300,11
310,11
320,11
330,11
340,11
350,11
360,11
370,11
380,11
390,11
400,11
410,11
420,11
430,11
440,11
450,11
460,11
470,11
480,11
490,11
500,11
510,11
520,11
530,11
540,11
550,11
560,11
570,11
580,11
590,11
600,11
610,11
620,11
630,11
640,11
650,11
660,11
670,11
680,11
690,11
700,11
710,11
720,11
730,11
740,11
750,11
760,11
770,11
780,11
790,11
800,11
810,11
820,11
830,11
840,11
850,11
860,11
870,11
880,11
890,11
900,11
910,11
920,11
930,11
940,11
950,11
960,11
970,11
980,11
990,11
1000,11
1010,11
1020,11
1030,11
1040,11
1050,11
1060,11
1070,11
1080,11
1090,11
1100,11
1110,11
1120,11
1130,11
1140,11
1150,11
1160,11
1170,11
1180,11
1190,11
1200,11
1210,11
1220,11
1230,11
1240,11
1250,11
1260,11
1270,11
1280,11
1290,11
1300,11
1310,11
1320,11
1330,11
1340,11
1350,11
1360,11
1370,11
1380,11
1390,11
1400,11
1410,11
1420,11
1430,11
1440,11
1450,11
1460,11
1470,11
1480,11
1490,11
1500,11
1510,11
1520,11
1530,11
1540,11
1550,11
1560,11
1570,11
1580,11
1590,11
1600,11
1610,11
1620,11
1630,11
1640,11
1650,11
1660,11
1670,11
1680,11
1690,11
1700,11
1710,11
1720,11
1730,11
1740,11
1750,11
1760,11
1770,11
1780,11
1790,11
1800,11
1810,11
1820,11
1830,11
1840,11
1850,11
1860,11
1870,11
1880,11
1890,11
1900,11
1910,11
1920,11
1930,11
1940,11
1950,11
1960,11
1970,11
1980,11
1990,11
2000,11
