ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.972639,0.00416409,null,null,null
0.103399,null,-0.158869,null,null
0.0636861,null,null,-0.01645,null
-0.00176311,null,null,null,0.00862534
0.975626,0.00157759,null,null,null
0.25388,null,-1.12844,null,null
0.465349,null,null,-0.453005,null
-0.0046984,null,null,null,0.0124933
0.979069,0.00146711,null,null,null
0.231903,null,-0.781786,null,null
0.462821,null,null,-0.173849,null
0.00619118,null,null,null,0.0107408
0.979472,0.00330691,null,null,null
0.492025,null,-0.760508,null,null
0.612634,null,null,0.0360439,null
0.00729409,null,null,null,0.00992755
0.97943,0.00101957,null,null,null
0.451609,null,-0.58375,null,null
0.606909,null,null,-0.0614984,null
-0.000403999,null,null,null,0.00451864
0.977186,0.00471083,null,null,null
0.575435,null,-0.529831,null,null
0.638044,null,null,-0.0833039,null
0.00070143,null,null,null,0.00942969
0.983105,0.00683969,null,null,null
0.395118,null,-0.480218,null,null
0.314736,null,null,-0.0230005,null
0.0144082,null,null,null,0.00572854
0.98168,0.0078727,null,null,null
0.485525,null,-0.714496,null,null
0.473311,null,null,-0.098816,null
0.00733139,null,null,null,0.000448967
0.981601,0.00807385,null,null,null
0.517444,null,-0.55037,null,null
0.0749599,null,null,0.145444,null
0.0030225,null,null,null,0.0106529
0.98021,0.00503207,null,null,null
0.383666,null,-0.35576,null,null
0.172806,null,null,0.250376,null
0.0136007,null,null,null,0.00776368
0.977141,0.00731604,null,null,null
1.13935,null,-0.356849,null,null
0.246899,null,null,0.734861,null
-0.00330618,null,null,null,0.00543279
0.983486,0.0108054,null,null,null
0.838246,null,-0.427155,null,null
0.259562,null,null,0.508446,null
-0.0014614,null,null,null,0.00708989
0.97901,0.00966801,null,null,null
0.678179,null,-0.30522,null,null
0.325925,null,null,0.549626,null
-0.00425595,null,null,null,-0.00362208
0.976549,0.0136106,null,null,null
0.64063,null,-0.444788,null,null
0.125495,null,null,0.416655,null
0.00107666,null,null,null,-0.00550778
0.97984,0.010129,null,null,null
0.463381,null,-0.543535,null,null
0.257783,null,null,0.372365,null
-0.00354354,null,null,null,0.00338008
0.98427,0.0102622,null,null,null
0.416652,null,-0.456094,null,null
0.219748,null,null,0.067534,null
-0.00561626,null,null,null,0.00142046
0.982137,0.00747305,null,null,null
0.273207,null,-0.452376,null,null
0.450051,null,null,0.19999,null
-0.000897523,null,null,null,-0.00467064
0.977108,0.0067367,null,null,null
0.266185,null,-0.261996,null,null
0.485661,null,null,0.109776,null
0.00274716,null,null,null,-0.00554437
0.974505,-0.00191447,null,null,null
0.304219,null,-0.271795,null,null
0.0870553,null,null,0.12279,null
0.00689109,null,null,null,0.00329455
0.96829,-0.004093,null,null,null
0.380056,null,-0.403282,null,null
0.289341,null,null,0.280251,null
0.0105399,null,null,null,0.00655513
0.973055,-0.00178912,null,null,null
0.36193,null,-0.307836,null,null
0.428606,null,null,0.102812,null
-0.0011164,null,null,null,0.00270755
0.971747,-0.00871434,null,null,null
0.156324,null,-0.414791,null,null
0.44712,null,null,0.101352,null
-0.00186245,null,null,null,-0.00139966
0.96638,-0.00302581,null,null,null
0.241371,null,-0.412746,null,null
0.162211,null,null,0.196221,null
-0.0044081,null,null,null,-0.00696279
0.96638,-0.00302581,null,null,null
0.241371,null,-0.412746,null,null
0.162211,null,null,0.196221,null
-0.0044081,null,null,null,-0.00696279
0.964601,-0.00281956,null,null,null
0.331206,null,-0.434816,null,null
0.112868,null,null,0.159938,null
0.00450603,null,null,null,-0.0116002
0.96617,-0.00171933,null,null,null
0.440234,null,-0.320251,null,null
0.154103,null,null,0.000782047,null
-0.00560044,null,null,null,-0.00711892
0.972625,-0.00395111,null,null,null
0.412439,null,-0.357621,null,null
0.183684,null,null,-0.0941426,null
-0.00271729,null,null,null,-0.00263045
0.970669,-0.00735509,null,null,null
0.367331,null,-0.334494,null,null
0.132043,null,null,-0.117834,null
-0.00874869,null,null,null,-0.00126905
0.97594,-0.010217,null,null,null
0.553911,null,-0.405655,null,null
0.0287046,null,null,-0.213851,null
-0.00281674,null,null,null,0.00169407
0.973236,-0.00780654,null,null,null
0.76094,null,-0.0824547,null,null
-0.0511998,null,null,-0.129947,null
-0.00379117,null,null,null,0.00318029
0.973664,-0.0100552,null,null,null
0.633685,null,-0.0913748,null,null
0.123899,null,null,-0.115621,null
8.50548e-05,null,null,null,0.00934946
0.972594,-0.0145436,null,null,null
0.406239,null,0.0057422,null,null
0.0845275,null,null,-0.0461584,null
0.00644429,null,null,null,0.00548721
0.972561,-0.0109213,null,null,null
0.547261,null,-0.230134,null,null
0.0433461,null,null,0.013162,null
0.00323055,null,null,null,0.00264031
0.974437,-0.0106584,null,null,null
0.625965,null,-0.244236,null,null
0.105303,null,null,0.0740713,null
0.00424861,null,null,null,0.00926301
0.977484,-0.0103632,null,null,null
0.482778,null,-0.376384,null,null
0.0176737,null,null,0.0136762,null
0.0029452,null,null,null,0.0115864
0.969999,-0.0117666,null,null,null
0.347821,null,-0.381679,null,null
0.0452139,null,null,0.123656,null
0.00403326,null,null,null,0.0039801
0.965132,-0.0098561,null,null,null
0.302607,null,-0.430241,null,null
0.0566711,null,null,-0.0195024,null
-0.004643,null,null,null,0.00226729
0.969683,-0.00479463,null,null,null
0.446589,null,-0.307453,null,null
0.117523,null,null,-0.0282171,null
-0.00163494,null,null,null,-0.00493226
0.968653,0.000748349,null,null,null
0.266282,null,-0.403714,null,null
0.0615422,null,null,0.0476586,null
-0.00362553,null,null,null,-0.0075085
0.975499,0.000568195,null,null,null
0.464701,null,-0.187323,null,null
-0.237665,null,null,0.0807249,null
-0.00189994,null,null,null,-0.0025317
0.975499,0.000568195,null,null,null
0.464701,null,-0.187323,null,null
-0.237665,null,null,0.0807249,null
-0.00189994,null,null,null,-0.0025317
0.97745,0.0022968,null,null,null
0.385971,null,-0.214266,null,null
-0.198236,null,null,-0.03363,null
-0.0051075,null,null,null,-0.0022327
0.980819,0.00594479,null,null,null
0.435021,null,-0.174751,null,null
-0.219874,null,null,0.0340096,null
-0.00350731,null,null,null,-0.00742494
0.978365,0.00166242,null,null,null
0.238645,null,-0.165076,null,null
-0.297441,null,null,0.140093,null
0.000348799,null,null,null,-0.00533904
0.978365,0.00166242,null,null,null
0.238645,null,-0.165076,null,null
-0.297441,null,null,0.140093,null
0.0003488,null,null,null,-0.00533904
0.976645,-0.00233866,null,null,null
0.143235,null,-0.274849,null,null
-0.272172,null,null,0.0460388,null
0.00195064,null,null,null,0.00412695
0.972435,-0.00711799,null,null,null
0.251049,null,-0.215273,null,null
-0.23448,null,null,-0.0258671,null
0.00431157,null,null,null,0.00684902
0.9799,-0.00487848,null,null,null
0.310513,null,-0.198917,null,null
-0.280303,null,null,0.101059,null
-0.000178048,null,null,null,0.00869655
0.978985,-0.00443885,null,null,null
0.238759,null,-0.177071,null,null
-0.382319,null,null,0.104842,null
