ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.942144,-0.00707219,null,null,null
-0.0143584,null,0.132245,null,null
0.0154799,null,null,-0.0194341,null
-0.00299875,null,null,null,-0.0016437
0.944271,-0.00676196,null,null,null
-0.016969,null,0.118603,null,null
0.0356485,null,null,-0.00547176,null
0.000575332,null,null,null,0.00608401
0.948671,-0.0157365,null,null,null
0.0159765,null,0.105098,null,null
0.0373537,null,null,-0.016106,null
-0.00383389,null,null,null,0.00340896
0.948671,-0.0157365,null,null,null
0.0159765,null,0.105098,null,null
0.0373537,null,null,-0.016106,null
-0.00383389,null,null,null,0.00340896
0.944335,-0.0117206,null,null,null
0.000969904,null,0.113345,null,null
0.0160919,null,null,-0.0334426,null
0.00852878,null,null,null,0.00072793
0.944335,-0.0117206,null,null,null
0.000969904,null,0.113345,null,null
0.0160919,null,null,-0.0334426,null
0.00852878,null,null,null,0.00072793
0.944213,-0.0103823,null,null,null
-0.0144655,null,0.119731,null,null
0.0247619,null,null,-0.0423046,null
-0.000640655,null,null,null,0.00558105
0.948693,-0.0108214,null,null,null
-0.007056,null,0.116761,null,null
-0.00525061,null,null,-0.0560317,null
0.00238606,null,null,null,0.00371019
0.944007,-0.0087887,null,null,null
-0.00284507,null,0.114274,null,null
0.0423523,null,null,-0.0664078,null
0.00932863,null,null,null,2.01678e-05
0.94663,-0.00220792,null,null,null
-0.0208829,null,0.0852885,null,null
0.0305159,null,null,-0.0396256,null
-0.0026211,null,null,null,0.00184369
0.94663,-0.00220792,null,null,null
-0.0208829,null,0.0852885,null,null
0.0305159,null,null,-0.0396256,null
-0.0026211,null,null,null,0.00184369
0.949917,-0.000647119,null,null,null
0.00520304,null,0.09604,null,null
0.0360556,null,null,-0.044207,null
-0.00117065,null,null,null,0.000852983
0.95178,0.00079173,null,null,null
0.0259762,null,0.148879,null,null
0.045162,null,null,-0.0369814,null
-0.0022799,null,null,null,0.000645841
0.954546,0.000683989,null,null,null
0.0329801,null,0.113521,null,null
0.0518821,null,null,-0.00960234,null
-0.00328645,null,null,null,-0.00304391
0.957079,-0.00484876,null,null,null
0.0550835,null,0.102483,null,null
0.0421776,null,null,0.010327,null
-0.00136682,null,null,null,0.00538554
0.947925,-0.00786454,null,null,null
0.0109623,null,0.0832359,null,null
0.0728335,null,null,0.021617,null
-0.00169624,null,null,null,8.46824e-06
0.944704,-0.00888661,null,null,null
0.0149295,null,0.0984857,null,null
0.0539131,null,null,-0.000954624,null
0.00611379,null,null,null,-0.00537574
0.944704,-0.00888661,null,null,null
0.0149295,null,0.0984857,null,null
0.0539131,null,null,-0.000954624,null
0.00611379,null,null,null,-0.00537574
0.944704,-0.00888661,null,null,null
0.0149295,null,0.0984857,null,null
0.0539131,null,null,-0.000954624,null
0.00611379,null,null,null,-0.00537574
0.948233,-0.00760087,null,null,null
0.029734,null,0.0993307,null,null
0.0355352,null,null,0.0351458,null
