t,accP
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,1
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,0
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,1
578,1
579,1
580,0
581,0
582,0
583,1
584,1
585,0
586,1
587,1
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,1
597,1
598,1
599,1
600,1
601,1
602,1
