t,accP
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,1
584,1
585,0
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
