ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.994455,-0.00810523,null,null,null
0.287938,null,-0.154738,null,null
0.146439,null,null,0.154324,null
-0.00153499,null,null,null,-0.00313716
0.994539,-0.00160739,null,null,null
0.187833,null,-0.125016,null,null
0.174619,null,null,0.15129,null
0.00551393,null,null,null,-0.000315917
0.994431,-0.00412236,null,null,null
0.262515,null,-0.137027,null,null
0.201275,null,null,0.0563039,null
0.00374751,null,null,null,-0.00710458
0.994518,0.000268895,null,null,null
0.296015,null,-0.12829,null,null
0.277856,null,null,0.0829149,null
0.00237744,null,null,null,-0.0079594
0.994502,-0.00162915,null,null,null
0.337064,null,-0.00298436,null,null
0.302734,null,null,0.0473708,null
-0.00112686,null,null,null,-0.00646827
0.994606,-0.00174825,null,null,null
0.392756,null,-0.00530502,null,null
0.29561,null,null,0.0763535,null
0.00774191,null,null,null,-0.0016414
0.994406,0.00133716,null,null,null
0.330574,null,-0.0164996,null,null
0.31403,null,null,0.033608,null
0.00410636,null,null,null,0.00201395
0.99447,0.00102055,null,null,null
0.372321,null,0.0208579,null,null
0.343356,null,null,-0.00133104,null
0.00455831,null,null,null,-0.00138031
0.994413,0.000936205,null,null,null
0.31177,null,0.0767648,null,null
0.286963,null,null,-0.137064,null
-0.00103171,null,null,null,-0.00342675
0.994244,-0.00613136,null,null,null
0.329334,null,0.0700096,null,null
0.308505,null,null,-0.106524,null
0.00436205,null,null,null,-0.0064105
0.994391,-0.00441399,null,null,null
0.356897,null,0.0896081,null,null
0.205995,null,null,-0.0246132,null
0.00243305,null,null,null,0.001421
0.994391,-0.00441399,null,null,null
0.356897,null,0.0896081,null,null
0.205995,null,null,-0.0246132,null
0.00243305,null,null,null,0.001421
0.994417,-0.00414923,null,null,null
0.346633,null,0.0770654,null,null
0.220587,null,null,0.0732778,null
-0.00242981,null,null,null,-0.00296019
0.994501,-0.000705474,null,null,null
0.367773,null,0.0305131,null,null
0.189722,null,null,0.01513,null
-0.00106129,null,null,null,-0.00649919
0.994384,-0.00101372,null,null,null
0.378185,null,0.098441,null,null
0.168925,null,null,0.0220884,null
0.00252411,null,null,null,-0.00308253
0.994475,-0.00397816,null,null,null
0.372774,null,0.0610046,null,null
0.114204,null,null,0.0448771,null
-0.0065338,null,null,null,0.00337896
0.994434,-0.00278846,null,null,null
0.30228,null,0.0617998,null,null
0.16071,null,null,0.075663,null
-0.000300698,null,null,null,0.000216085
0.994393,-0.0049237,null,null,null
0.347485,null,0.0527005,null,null
0.198101,null,null,0.0652548,null
-0.00456186,null,null,null,-0.000336932
0.994413,-0.00886229,null,null,null
0.331055,null,0.00931569,null,null
0.166546,null,null,0.0690436,null
-0.00372474,null,null,null,0.00431291
0.994289,-0.0144431,null,null,null
0.331775,null,0.017668,null,null
0.150861,null,null,0.0710063,null
-0.00575144,null,null,null,-0.00294619
0.994289,-0.0144431,null,null,null
0.331775,null,0.017668,null,null
0.150861,null,null,0.0710063,null
-0.00575144,null,null,null,-0.00294619
0.994289,-0.00814244,null,null,null
0.322924,null,0.0355161,null,null
0.0932827,null,null,0.029349,null
-0.00224119,null,null,null,-0.0042347
0.994422,-0.00872151,null,null,null
0.321167,null,0.0106623,null,null
0.0608428,null,null,0.0329216,null
-0.00335004,null,null,null,-0.00173433
0.994322,-0.0159069,null,null,null
0.255349,null,-0.0391259,null,null
0.16185,null,null,0.0383135,null
-0.00389184,null,null,null,0.00601925
0.994331,-0.0161485,null,null,null
0.296167,null,-0.0780565,null,null
0.118608,null,null,0.0249443,null
-0.00234315,null,null,null,-0.0048288
0.994428,-0.012969,null,null,null
0.300206,null,-0.0734324,null,null
0.106722,null,null,0.0158601,null
-0.00178134,null,null,null,0.0032756
0.994369,-0.012845,null,null,null
0.409141,null,-0.109747,null,null
0.111441,null,null,-0.00781323,null
-0.00369515,null,null,null,0.00717975
0.994554,-0.0050926,null,null,null
0.446641,null,-0.0784794,null,null
0.119114,null,null,0.0685318,null
-0.00725626,null,null,null,0.00816216
