t,Norder
10,8
20,8
30,8
40,8
50,8
60,8
70,8
80,8
90,8
100,8
110,8
120,8
130,8
140,8
150,8
160,8
170,8
180,8
190,8
200,8
210,8
220,8
230,8
240,8
250,8
260,8
270,8
280,8
290,8
300,8
310,8
320,8
330,8
340,8
350,8
360,8
370,8
380,8
390,8
400,8
410,8
420,8
430,8
440,8
450,8
460,8
470,8
480,8
490,8
500,8
510,8
520,8
530,8
540,8
550,8
560,8
570,8
580,8
590,8
600,8
610,8
620,8
630,8
640,8
650,8
660,8
670,8
680,8
690,8
700,8
710,8
720,8
730,8
740,8
750,8
760,8
770,8
780,8
790,8
800,8
810,8
820,8
830,8
840,8
850,8
860,8
870,8
880,8
890,8
900,8
910,8
920,8
930,8
940,8
950,8
960,8
970,8
980,8
990,8
1000,8
1010,8
1020,8
1030,8
1040,8
1050,8
1060,8
1070,8
1080,8
1090,8
1100,8
1110,8
1120,8
1130,8
1140,8
1150,8
1160,8
1170,8
1180,8
1190,8
1200,8
1210,8
1220,8
1230,8
1240,8
1250,8
1260,8
1270,8
1280,8
1290,8
1300,8
1310,8
1320,8
1330,8
1340,8
1350,8
1360,8
1370,8
1380,8
1390,8
1400,8
1410,8
1420,8
1430,8
1440,8
1450,8
1460,8
1470,8
1480,8
1490,8
1500,8
1510,8
1520,8
1530,8
1540,8
1550,8
1560,8
1570,8
1580,8
1590,8
1600,8
1610,8
1620,8
1630,8
1640,8
1650,8
1660,8
1670,8
1680,8
1690,8
1700,8
1710,8
1720,8
1730,8
1740,8
1750,8
1760,8
1770,8
1780,8
1790,8
1800,8
1810,8
1820,8
1830,8
1840,8
1850,8
1860,8
1870,8
1880,8
1890,8
1900,8
1910,8
1920,8
1930,8
1940,8
1950,8
1960,8
1970,8
1980,8
1990,8
2000,8
2010,8
2020,8
2030,8
2040,8
2050,8
2060,8
2070,8
2080,8
2090,8
2100,8
2110,8
2120,8
2130,8
2140,8
2150,8
2160,8
2170,8
2180,8
2190,8
2200,8
2210,8
2220,8
2230,8
2240,8
2250,8
2260,8
2270,8
2280,8
2290,8
2300,8
2310,8
2320,8
2330,8
2340,8
2350,8
2360,8
2370,8
2380,8
2390,8
2400,8
2410,8
2420,8
2430,8
2440,8
2450,8
2460,8
2470,8
2480,8
2490,8
2500,8
2510,8
2520,8
2530,8
2540,8
2550,8
2560,8
2570,8
2580,8
2590,8
2600,8
2610,8
2620,8
2630,8
2640,8
2650,8
2660,8
2670,8
2680,8
2690,8
2700,8
2710,8
2720,8
2730,8
2740,8
2750,8
2760,8
2770,8
2780,8
2790,8
2800,8
2810,8
2820,8
2830,8
2840,8
2850,8
2860,8
2870,8
2880,8
2890,8
2900,8
2910,8
2920,8
2930,8
2940,8
2950,8
2960,8
2970,8
2980,8
2990,8
3000,8
3010,8
3020,8
3030,8
3040,8
3050,8
3060,8
3070,8
3080,8
3090,8
3100,8
3110,8
3120,8
3130,8
3140,8
3150,8
3160,8
3170,8
3180,8
3190,8
3200,8
3210,8
3220,8
3230,8
3240,8
3250,8
3260,8
3270,8
3280,8
3290,8
3300,8
3310,8
3320,8
3330,8
3340,8
3350,8
3360,8
3370,8
3380,8
3390,8
3400,8
3410,8
3420,8
3430,8
3440,8
3450,8
3460,8
3470,8
3480,8
3490,8
3500,8
3510,8
3520,8
3530,8
3540,8
3550,8
3560,8
3570,8
3580,8
3590,8
3600,8
3610,8
3620,8
3630,8
3640,8
3650,8
3660,8
3670,8
3680,8
3690,8
3700,8
3710,8
3720,8
3730,8
3740,8
3750,8
3760,8
3770,8
3780,8
3790,8
3800,8
3810,8
3820,8
3830,8
3840,8
3850,8
3860,8
3870,8
3880,8
3890,8
3900,8
3910,8
3920,8
3930,8
3940,8
3950,8
3960,8
3970,8
3980,8
3990,8
4000,8
4010,8
4020,8
4030,8
4040,8
4050,8
4060,8
4070,8
4080,8
4090,8
4100,8
4110,8
4120,8
4130,8
4140,8
4150,8
4160,8
4170,8
4180,8
4190,8
4200,8
4210,8
4220,8
4230,8
4240,8
4250,8
4260,8
4270,8
4280,8
4290,8
4300,8
4310,8
4320,8
4330,8
4340,8
4350,8
4360,8
4370,8
4380,8
4390,8
4400,8
4410,8
4420,8
4430,8
4440,8
4450,8
4460,8
4470,8
4480,8
4490,8
4500,8
4510,8
4520,8
4530,8
4540,8
4550,8
4560,8
4570,8
4580,8
4590,8
4600,8
4610,8
4620,8
4630,8
4640,8
4650,8
4660,8
4670,8
4680,8
4690,8
4700,8
4710,8
4720,8
4730,8
4740,8
4750,8
4760,8
4770,8
4780,8
4790,8
4800,8
4810,8
4820,8
4830,8
4840,8
4850,8
4860,8
4870,8
4880,8
4890,8
4900,8
4910,8
4920,8
4930,8
4940,8
4950,8
