t,cg_iters
1,35409
2,36474
3,36387
4,36210
5,36329
6,36493
7,37425
8,36556
9,35925
10,35684
11,17934
12,17964
13,18042
14,18057
15,18345
16,18704
17,18296
18,18110
19,18229
20,18413
21,14638
22,14542
23,14275
24,14364
25,14131
26,14092
27,14015
28,14104
29,14018
30,14461
31,14141
32,14113
33,14079
34,14153
35,14409
36,14453
37,14235
38,14617
39,14671
40,14631
41,14233
42,14150
43,14250
44,14273
45,14259
46,13828
47,13956
48,13973
49,14009
50,13982
51,12887
52,12771
53,12862
54,12912
55,12801
56,12821
57,12703
58,12626
59,12824
60,12933
61,12698
62,12506
63,12520
64,12505
65,12538
66,12424
67,12722
68,12948
69,13044
70,13268
71,13212
72,13009
73,12889
74,12971
75,12991
76,13143
77,12987
78,12744
79,12320
80,12387
81,12746
82,13021
83,12984
84,12870
85,12927
86,12601
87,12363
88,12348
89,12467
90,12497
91,12435
92,12475
93,12419
94,12502
95,12714
96,12568
97,12179
98,12648
99,12553
100,12805
101,11011
102,10951
103,11058
104,10876
105,10677
106,10698
107,10740
108,10802
109,10746
110,10549
111,10434
112,10573
113,10559
114,10653
115,10721
116,10716
117,10576
118,10635
119,10856
120,10868
121,10675
122,10855
123,10952
124,11019
125,10937
126,10778
127,10752
128,10783
129,10962
130,11110
131,10938
132,10864
133,10889
134,10755
135,10839
136,10824
137,10870
138,10668
139,10789
140,10785
141,10918
142,10927
143,10881
144,10829
145,10898
146,11138
147,11300
148,11076
149,10893
150,10728
151,10758
152,10570
153,10541
154,10546
155,10668
156,10605
157,10744
158,10631
159,10662
160,10633
161,10867
162,10666
163,10604
164,10559
165,10782
166,10797
167,10710
168,10657
169,10605
170,10359
171,10541
172,10557
173,10836
174,10555
175,10670
176,10695
177,10559
178,10530
179,10688
180,10491
181,10603
182,10627
183,10837
184,10759
185,10823
186,10823
187,10848
188,10626
189,10497
190,10504
191,10561
192,10593
193,10760
194,10914
195,11019
196,10847
197,10606
198,10685
199,10709
200,10518
201,10061
202,10057
203,10006
204,9915
205,10166
206,10016
207,10018
208,10124
209,10440
210,10307
211,10258
212,10046
213,10020
214,9960
215,9931
216,9916
217,9982
218,9943
219,10004
220,9951
221,9880
222,9930
223,10133
224,10265
225,10366
226,10249
227,10237
228,10337
229,10117
230,10303
231,10380
232,10060
233,9962
234,10023
235,10069
236,9930
237,10027
238,10112
239,10041
240,10078
241,10202
242,10118
243,10133
244,10285
245,10268
246,10050
247,10046
248,10192
249,10120
250,10048
251,9378
252,9373
253,9376
254,9310
255,9298
256,9402
257,9266
258,9245
259,9245
260,9245
261,9352
262,9271
263,9304
264,9455
265,9533
266,9454
267,9270
268,9432
269,9299
270,9371
271,9379
272,9294
273,9384
274,9362
275,9490
276,9425
277,9267
278,9184
279,9394
280,9442
281,9355
282,9406
283,9486
284,9464
285,9530
286,9391
287,9265
288,9310
289,9467
290,9524
291,9390
292,9447
293,9516
294,9342
295,9215
296,9543
297,9600
298,9339
299,9316
300,9362
301,8841
302,8749
303,8719
304,8781
305,8774
306,9035
307,8898
308,8757
309,8825
310,8851
311,8777
312,8681
313,8743
314,8833
315,8831
316,8880
317,8973
318,8850
319,8761
320,8768
321,8752
322,8799
323,8730
324,8884
325,9068
326,9108
327,9085
328,8985
329,8934
330,8960
331,8917
332,8953
333,8845
334,8681
335,8671
336,8741
