t,accP
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,0
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,0
534,0
535,0
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,0
548,1
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,1
597,1
598,1
599,0
600,1
601,0
602,1
