t,accP
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,1
373,1
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,0
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,0
464,1
465,1
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,0
475,1
476,1
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,0
570,1
571,0
572,0
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,1
