t,accP
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
